No.,Paper no.,Feature name,Feature definition,Category,Data source,Frequency,Formula,Comments,,,,,,,,,,,,,,,,,
244,4,After-tax Return on Invested Capital (aftret_invcapx),"Net Income plus
Interest Expenses as a fraction of Invested Capital.",Financial ratio (Profitability),WRDS Industry Financial Ratio,Monthly,N/A,,,,,,,,,,,,,,,,,,
245,4,After-tax Return on Total Stockholders’ Equity (aftret_equity),"Net
Income as a fraction of average of Total Shareholders’ Equity based on most recent two
periods.",Financial ratio (Profitability),WRDS Industry Financial Ratio,Monthly,N/A,,,,,,,,,,,,,,,,,,
246,4,Pre-tax return on Net Operating Assets (pretret_noa),"Operating Income
After Depreciation as a fraction of average Net Operating Assets (NOA) based on most
recent two periods, where NOA is defined as the sum of Property Plant and Equipment and
Current Assets minus Current Liabilities.",Financial ratio (Profitability),WRDS Industry Financial Ratio,Monthly,N/A,,,,,,,,,,,,,,,,,,
247,4,Pre-tax Return on Total Earning Assets (pretret_earnat),"Operating
Income After Depreciation as a fraction of average Total Earnings Assets (TEA) based on
most recent two periods, where TEA is defined as the sum of Property Plant and Equipment
and Current Assets.",Financial ratio (Profitability),WRDS Industry Financial Ratio,Monthly,N/A,,,,,,,,,,,,,,,,,,
248,4,Common Equity/Invested Capital (equity_invcap),"Common Equity
as a fraction of Invested Capital.",Financial ratio (Capitalization),WRDS Industry Financial Ratio,Monthly,N/A,,,,,,,,,,,,,,,,,,
249,4,Long-term Debt/Invested Capital (debt_invcap),"Long-term Debt as
a fraction of Invested Capital.",Financial ratio (Capitalization),WRDS Industry Financial Ratio,Monthly,N/A,,,,,,,,,,,,,,,,,,
250,4,Total Debt/Invested Capital (totdebt_invcap),"Total Debt (Long-term
and Current) as a fraction of Invested Capital.",Financial ratio (Capitalization),WRDS Industry Financial Ratio,Monthly,N/A,,,,,,,,,,,,,,,,,,
251,4,Interest/Average Long-term Debt (int_debt),"Interest as a fraction
of average Long-term debt based on most recent two periods.",Financial ratio (Financial soundness),WRDS Industry Financial Ratio,Monthly,N/A,,,,,,,,,,,,,,,,,,
252,4,Interest/Average Total Debt (int_totdebt),"Interest as a fraction
of average Total Debt based on most recent two periods.",Financial ratio (Financial soundness),WRDS Industry Financial Ratio,Monthly,N/A,,,,,,,,,,,,,,,,,,
253,4,Cash Balance/Total Liabilities (cash_lt),"Cash Balance as a
fraction of Total Liabilities.",Financial ratio (Financial soundness),WRDS Industry Financial Ratio,Monthly,N/A,,,,,,,,,,,,,,,,,,
254,4,Inventory/Current Assets (invt_act),"Inventories as a fraction of
Current Assets.",Financial ratio (Financial soundness),WRDS Industry Financial Ratio,Monthly,N/A,,,,,,,,,,,,,,,,,,
255,4,Receivables/Current Assets (rect_act),"Accounts Receivables as
a fraction of Current Assets.",Financial ratio (Financial soundness),WRDS Industry Financial Ratio,Monthly,N/A,,,,,,,,,,,,,,,,,,
256,4,Total Debt/Total Assets (debt_at),"Total Liabilities as a fraction of Total
Assets.",Financial ratio (Solvency),WRDS Industry Financial Ratio,Monthly,N/A,,,,,,,,,,,,,,,,,,
257,4,Short-Term Debt/Total Debt (short_debt),"Short-term Debt as
a fraction of Total Debt.",Financial ratio (Financial soundness),WRDS Industry Financial Ratio,Monthly,N/A,,,,,,,,,,,,,,,,,,
258,4,Current Liabilities/Total Liabilities (curr_debt),"Current Liabilities
as a fraction of Total Liabilities.",Financial ratio (Financial soundness),WRDS Industry Financial Ratio,Monthly,N/A,,,,,,,,,,,,,,,,,,
259,4,Long-term Debt/Total Liabilities (lt_debt),"Long-term Debt as
a fraction of Total Liabilities.",Financial ratio (Financial soundness),WRDS Industry Financial Ratio,Monthly,N/A,,,,,,,,,,,,,,,,,,
260,4,Free Cash Flow/Operating Cash Flow (fcf_ocf ),"Free Cash
Flow as a fraction of Operating Cash Flow, where Free Cash Flow is defined as the difference
between Operating Cash Flow and Capital Expenditures.",Financial ratio (Financial soundness),WRDS Industry Financial Ratio,Monthly,N/A,,,,,,,,,,,,,,,,,,
261,4,Advertising Expenses/Sales (adv_sale) – Other.,"Advertising Expenses as a fraction of
Sales.",Financial ratio (Other),WRDS Industry Financial Ratio,Monthly,N/A,,,,,,,,,,,,,,,,,,
262,4,"Operating
Income before D&A as a fraction of Current Liabilities.",Profit Before Depreciation/Current Liabilities (profit_lct),Financial ratio (Financial soundness),WRDS Industry Financial Ratio,Monthly,N/A,,,,,,,,,,,,,,,,,,
263,4,Total Debt/EBITDA (debt_ebitda),"Gross Debt as a fraction of
EBITDA.",Financial ratio (Financial soundness),WRDS Industry Financial Ratio,Monthly,N/A,,,,,,,,,,,,,,,,,,
264,4,Operating CF/Current Liabilities (ocf_lct),"Operating Cash
Flow as a fraction of Current Liabilities.",Financial ratio (Financial soundness),WRDS Industry Financial Ratio,Monthly,N/A,,,,,,,,,,,,,,,,,,
265,4,Total Liabilities/Total Tangible Assets (lt_ppent),"Liabilities
to Total Tangible Assets.",Financial ratio (Financial soundness),WRDS Industry Financial Ratio,Monthly,N/A,,,,,,,,,,,,,,,,,,
266,4,Long-term Debt/Book Equity (dltt_be),"Long-term Debt to Book
Equity.",Financial ratio (Financial soundness),WRDS Industry Financial Ratio,Monthly,N/A,,,,,,,,,,,,,,,,,,
267,4,Total Debt/Total Assets (debt_assets),Total Debt as a fraction of Total Assets.,Financial ratio (solvency),WRDS Industry Financial Ratio,Monthly,N/A,,,,,,,,,,,,,,,,,,
268,4,Total Debt/Capital (debt_capital),"Total Debt as a fraction of Total Capital,
where Total Debt is defined as the sum of Accounts Payable and Total Debt in Current and
Long-term Liabilities, and Total Capital is defined as the sum of Total Debt and Total Equity
(common and preferred).",Financial ratio (solvency),WRDS Industry Financial Ratio,Monthly,N/A,,,,,,,,,,,,,,,,,,
269,4,Total Debt/Equity (de_ratio),"Total Liabilities to Shareholders’ Equity (common
and preferred).",Financial ratio (solvency),WRDS Industry Financial Ratio,Monthly,N/A,,,,,,,,,,,,,,,,,,
270,4,After-tax Interest Coverage (intcov),"Multiple of After-tax Income to Interest
and Related Expenses.",Financial ratio (solvency),WRDS Industry Financial Ratio,Monthly,N/A,,,,,,,,,,,,,,,,,,
271,4,Cash Ratio (cash_ratio),"Cash and Short-term Investments as a fraction of
Current Liabilities.",Financial ratio (liquidity),WRDS Industry Financial Ratio,Monthly,N/A,,,,,,,,,,,,,,,,,,
272,4,Quick Ratio (Acid Test) (quick_ratio),"Current Assets net of
Inventories as a fraction of Current Liabilities.",Financial ratio (liquidity),WRDS Industry Financial Ratio,Monthly,N/A,,,,,,,,,,,,,,,,,,
273,4,Current Ratio (curr_ratio),Current Assets as a fraction of Current Liabilities.,Financial ratio (liquidity),WRDS Industry Financial Ratio,Monthly,N/A,,,,,,,,,,,,,,,,,,
274,4,Capitalization Ratio (capital_ratio),"Total Long-term Debt as a fraction
of the sum of Total Long-term Debt, Common/Ordinary Equity and Preferred Stock.",Financial ratio (capitalization),WRDS Industry Financial Ratio,Monthly,N/A,,,,,,,,,,,,,,,,,,
275,4,Cash Flow/Total Debt (cash_debt),"Operating Cash Flow as a
fraction of Total Debt.",Financial ratio (Financial soundness),WRDS Industry Financial Ratio,Monthly,N/A,,,,,,,,,,,,,,,,,,
276,4,Inventory Turnover (inv_turn),"COGS as a fraction of the average Inventories
based on the most recent two periods.",Financial ratio (Efficiency),WRDS Industry Financial Ratio,Monthly,N/A,,,,,,,,,,,,,,,,,,
277,4,Asset Turnover (at_turn),"Sales as a fraction of the average Total Assets based
on the most recent two periods.",Financial ratio (Efficiency),WRDS Industry Financial Ratio,Monthly,N/A,,,,,,,,,,,,,,,,,,
278,4,Receivables Turnover (rect_turn),"Sales as a fraction of the average of Accounts
Receivables based on the most recent two periods",Financial ratio (Efficiency),WRDS Industry Financial Ratio,Monthly,N/A,,,,,,,,,,,,,,,,,,
279,4,Payables Turnover (pay_turn),"COGS and change in Inventories as a fraction
of the average of Accounts Payable based on the most recent two periods.",Financial ratio (Efficiency),WRDS Industry Financial Ratio,Monthly,N/A,,,,,,,,,,,,,,,,,,
280,4,Sales/Invested Capital (sale_invcap),Sales per dollar of Invested Capital.,Financial ratio (Efficiency),WRDS Industry Financial Ratio,Monthly,N/A,,,,,,,,,,,,,,,,,,
281,4,Sales/Stockholders Equity (sale_equity),"Sales per dollar of total Stockholders’
Equity.",Financial ratio (Efficiency),WRDS Industry Financial Ratio,Monthly,N/A,,,,,,,,,,,,,,,,,,
282,4,Sales/Working Capital (sale_nwc),"Sales per dollar of Working Capital,
defined as difference between Current Assets and Current Liabilities.",Financial ratio (Efficiency),WRDS Industry Financial Ratio,Monthly,N/A,,,,,,,,,,,,,,,,,,
283,4,Research and Development/Sales (RD_SALE),R&D expenses as a fraction of Sales.,Financial ratio (Other),WRDS Industry Financial Ratio,Monthly,N/A,,,,,,,,,,,,,,,,,,
284,4,Accruals/Average Assets (Accrual),"Accruals as a fraction of average Total Assets
based on most recent two periods.",Financial ratio (Other),WRDS Industry Financial Ratio,Monthly,N/A,,,,,,,,,,,,,,,,,,
285,4,Gross Profit/Total Assets (GProf ),"Gross Profitability as a fraction of
Total Assets.",Financial ratio (Profitability),WRDS Industry Financial Ratio,Monthly,N/A,,,,,,,,,,,,,,,,,,
286,4,Book Equity (be),Firm size as measured by total book equity.,Financial ratio (Other),WRDS Industry Financial Ratio,Monthly,N/A,,,,,,,,,,,,,,,,,,
287,4,Cash Conversion Cycle (Days) (cash_conversion),"Inventories per daily
COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS.",Financial ratio (Liquidity),WRDS Industry Financial Ratio,Monthly,N/A,,,,,,,,,,,,,,,,,,
288,4,Effective Tax Rate (efftax),Income Tax as a fraction of Pretax Income.,Financial ratio (Profitability),WRDS Industry Financial Ratio,Monthly,N/A,,,,,,,,,,,,,,,,,,
289,4,Interest Coverage Ratio (intcov_ratio),"Multiple of Earnings Before Interest
and Taxes to Interest and Related Expenses.",Financial ratio (Solvency),WRDS Industry Financial Ratio,Monthly,N/A,,,,,,,,,,,,,,,,,,
290,4,Labor Expenses/Sales (staff_sale),Labor Expenses as a fraction of Sales.,Financial ratio (Other),WRDS Industry Financial Ratio,Monthly,N/A,,,,,,,,,,,,,,,,,,
291,4,Dividend Yield (divyield),Indicated Dividend Rate as a fraction of Price.,Financial ratio (Valuation),WRDS Industry Financial Ratio,Monthly,N/A,,,,,,,,,,,,,,,,,,
292,4,Price/Book (ptb),Multiple of Market Value of Equity to Book Value of Equity.,Financial ratio (Valuation),WRDS Industry Financial Ratio,Monthly,N/A,,,,,,,,,,,,,,,,,,
293,4,Trailing P/E to Growth (PEG) ratio (PEG_trailing),"Price-to-Earnings,
excl. Extraordinary Items (diluted) to 3-Year past EPS Growth.",Financial ratio (Valuation),WRDS Industry Financial Ratio,Monthly,N/A,,,,,,,,,,,,,,,,,,
294,4,Return in Month t ? i (ret_lagi),"Past one-month returns in months t ? i for
i = {1, ..., 12}.",Financial ratio (Other),WRDS Industry Financial Ratio,Monthly,N/A,,,,,,,,,,,,,,,,,,
295,5,RPI,Real Personal Income,Output and income,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
296,5,W875RX1,Real personal income ex transfer receipts,Output and income,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
297,5,INDPRO,IP Index,Output and income,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
298,5,IPFPNSS,IP: Final Products and Nonindustrial Supplies,Output and income,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
299,5,IPFINAL,IP: Final Products (Market Group),Output and income,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
300,5,IPCONGD,IP: Consumer Goods,Output and income,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
301,5,IPDCONGD,IP: Durable Consumer Goods,Output and income,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
302,5,IPNCONGD,IP: Nondurable Consumer Goods,Output and income,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
303,5,IPBUSEQ,IP: Business Equipment,Output and income,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
304,5,IPMAT,IP: Materials,Output and income,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
305,5,IPDMAT,IP: Durable Materials,Output and income,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
306,5,IPNMAT,IP: Nondurable Materials,Output and income,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
307,5,IPMANSICS,IP: Manufacturing (SIC),Output and income,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
308,5,IPB51222s,IP: Residential Utilities,Output and income,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
309,5,IPFUELS,IP: Fuels,Output and income,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
310,5,NAPMPI,ISM Manufacturing: Production Index,Output and income,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
311,5,CUMFNS,Capacity Utilization: Manufacturing,Output and income,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
312,5,HWI,Help-Wanted Index for United States,Labor market,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
313,5,HWIURATIO,Ratio of Help Wanted/No. Unemployed,Labor market,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
314,5,CLF16OV,Civilian Labor Force,Labor market,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
315,5,CE16OV,Civilian Employment,Labor market,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
316,5,UNRATE,Civilian Unemployment Rate,Labor market,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
317,5,UEMPMEAN,Average Duration of Unemployment (Weeks),Labor market,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
318,5,UEMPLT5,Civilians Unemployed - Less Than 5 Weeks,Labor market,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
319,5,UEMP5TO14,Civilians Unemployed for 5–14 Weeks,Labor market,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
320,5,UEMP15OV,Civilians Unemployed - 15 Weeks & Over,Labor market,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
321,5,UEMP15T26,Civilians Unemployed for 15–26 Weeks,Labor market,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
322,5,UEMP27OV,Civilians Unemployed for 27 Weeks and Over,Labor market,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
323,5,CLAIMSx,Initial Claims,Labor market,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
324,5,PAYEMS,All Employees: Total nonfarm,Labor market,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
325,5,USGOOD,All Employees: Goods-Producing Industries,Labor market,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
326,5,CES1021000001,All Employees: Mining and Logging: Mining,Labor market,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
327,5,USCONS,All Employees: Construction,Labor market,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
328,5,MANEMP,All Employees: Manufacturing,Labor market,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
329,5,DMANEMP,All Employees: Durable goods,Labor market,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
330,5,NDMANEMP,All Employees: Nondurable goods,Labor market,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
331,5,SRVPRD,All Employees: Service-Providing Industries,Labor market,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
332,5,USTPU,"All Employees: Trade, Transportation & Utilities",Labor market,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
333,5,USWTRADE,All Employees: Wholesale Trade,Labor market,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
334,5,USTRADE,All Employees: Retail Trade,Labor market,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
335,5,USFIRE,All Employees: Financial Activities,Labor market,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
336,5,USGOVT,All Employees: Government,Labor market,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
337,5,CES0600000007,Avg Weekly Hours: Goods-Producing,Labor market,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
338,5,AWOTMAN,Avg Weekly Overtime Hours: Manufacturing,Labor market,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
339,5,AWHMAN,Avg Weekly Hours: Manufacturing,Labor market,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
340,5,NAPMEI,ISM Manufacturing: Employment Index,Labor market,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
341,5,CES0600000008,Avg Hourly Earnings: Goods-Producing,Labor market,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
342,5,CES2000000008,Avg Hourly Earnings: Construction,Labor market,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
343,5,CES3000000008,Avg Hourly Earnings: Manufacturing,Labor market,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
344,5,HOUST,Housing Starts: Total New Privately Owned,Housing,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
345,5,HOUSTNE,"Housing Starts, Northeast",Housing,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
346,5,HOUSTMW,"Housing Starts, Midwest",Housing,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
347,5,HOUSTS,"Housing Starts, South",Housing,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
348,5,HOUSTW,"Housing Starts, West",Housing,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
349,5,PERMIT,New Private Housing Permits (SAAR),Housing,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
350,5,PERMITNE,"New Private Housing Permits, Northeast (SAAR)",Housing,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
351,5,PERMITMW,"New Private Housing Permits, Midwest (SAAR)",Housing,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
352,5,PERMITS,"New Private Housing Permits, South (SAAR)",Housing,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
353,5,PERMITW,"New Private Housing Permits, West (SAAR)",Housing,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
354,5,DPCERA3M086SBEA,Real personal consumption expenditures,"Consumption, orders, and inventories",https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
355,5,CMRMTSPLx,Real Manu. and Trade Industries Sales,"Consumption, orders, and inventories",https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
356,5,RETAILx,Retail and Food Services Sales,"Consumption, orders, and inventories",https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
357,5,NAPM,ISM: PMI Composite Index,"Consumption, orders, and inventories",https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,,,,,,,,,,,,,,,,,,
358,5,NAPMNOI,ISM: New Orders Index,"Consumption, orders, and inventories",https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,,,,,,,,,,,,,,,,,,
359,5,NAPMSDI,ISM: Supplier Deliveries Index,"Consumption, orders, and inventories",https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,,,,,,,,,,,,,,,,,,
360,5,NAPMII,ISM: Inventories Index,"Consumption, orders, and inventories",https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,,,,,,,,,,,,,,,,,,
361,5,ACOGNO,New Orders for Consumer Goods,"Consumption, orders, and inventories",https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,,,,,,,,,,,,,,,,,,
362,5,AMDMNOx,New Orders for Durable Goods,"Consumption, orders, and inventories",https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
363,5,ANDENOx,New Orders for Nondefense Capital Goods,"Consumption, orders, and inventories",https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,,,,,,,,,,,,,,,,,,
364,5,AMDMUOx,Unfilled Orders for Durable Goods,"Consumption, orders, and inventories",https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
365,5,BUSINVx,Total Business Inventories,"Consumption, orders, and inventories",https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
366,5,ISRATIOx,Total Business: Inventories to Sales Ratio,"Consumption, orders, and inventories",https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
367,5,UMCSENTx,Consumer Sentiment Index,"Consumption, orders, and inventories",https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,,,,,,,,,,,,,,,,,,
368,5,M1SL,M1 Money Stock,Money and credit,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
369,5,M2SL,M2 Money Stock,Money and credit,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
370,5,M2REAL,Real M2 Money Stock,Money and credit,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
371,5,AMBSL,St. Louis Adjusted Monetary Base,Money and credit,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
372,5,TOTRESNS,Total Reserves of Depository Institutions,Money and credit,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
373,5,NONBORRES,Reserves Of Depository Institutions,Money and credit,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
374,5,BUSLOANS,Commercial and Industrial Loans,Money and credit,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
375,5,REALLN,Real Estate Loans at All Commercial Banks,Money and credit,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
376,5,NONREVSL,Total Nonrevolving Credit,Money and credit,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
377,5,CONSPI,Nonrevolving consumer credit to Personal Income,Money and credit,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
378,5,MZMSL,MZM Money Stock,Money and credit,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
379,5,DTCOLNVHFNM,Consumer Motor Vehicle Loans Outstanding,Money and credit,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
380,5,DTCTHFNM,Total Consumer Loans and Leases Outstanding,Money and credit,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
381,5,INVEST,Securities in Bank Credit at All Commercial Banks,Money and credit,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
382,5,FEDFUNDS,Effective Federal Funds Rate,Interest and exchange rates,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
383,5,CP3Mx,3-Month AA Financial Commercial Paper Rate,Interest and exchange rates,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
384,5,TB3MS,3-Month Treasury Bill,Interest and exchange rates,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
385,5,TB6MS,6-Month Treasury Bill,Interest and exchange rates,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
386,5,GS1,1-Year Treasury Rate,Interest and exchange rates,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
387,5,GS5,5-Year Treasury Rate,Interest and exchange rates,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
388,5,GS10,10-Year Treasury Rate,Interest and exchange rates,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
389,5,AAA,Moody’s Seasoned Aaa Corporate Bond Yield,Interest and exchange rates,https://research.stlouisfed.org/econ/mccracken/fred-databases/,Monthly,N/A,7,,,,,,,,,,,,,,,,,
