Date,Agric,Food ,Soda ,Beer ,Smoke,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Ships,Guns ,Gold ,Mines,Coal ,Oil  ,Util ,Telcm,PerSv,BusSv,Comps,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  ,Other
194211,12.13,4.32,-99.99,0.22,-1.25,-3.7,-1.69,0.06,-0.87,-1.7,-99.99,1.01,1.61,0.66,2.82,3.2,2.36,3.13,-6.99,-99.99,-1.19,0.97,-0.34,-10.61,-7.59,-99.99,-99.99,-2.11,-7.25,0.99,-1.3,2.63,9.25,0.39,3.86,2.84,4.73,1.28,0.8,-3.65,1.87,6.81,4.28,13.07,-0.56,4.45,-6.7,7.07
194212,7.79,3.35,-99.99,4.84,6.25,0.98,7.94,6.02,-0.45,7.92,-99.99,5.25,8.86,6.07,5.73,5.78,6.63,5.79,3.69,-99.99,8.15,6.66,8.98,1.74,5.26,-99.99,-99.99,5.43,1.48,7.54,4.36,0.35,2.95,-1.32,5.22,7.21,4.69,21.78,2.65,3.53,9.36,2.66,-2.74,1.56,7.63,-9.34,8.71,2.13
194301,2.1,8.71,-99.99,7.43,12.28,12.62,1.86,21.36,6.63,6.66,-99.99,15.14,1.9,4.59,10.84,8.94,6.28,23.05,9.45,-99.99,5.48,11.92,5.1,10.33,12.39,-99.99,-99.99,8.5,10.55,6.36,14.69,3.78,9.57,12.11,7.04,4.22,4.35,4.05,12.07,7.25,4.05,6.87,15.37,2.9,-0.69,23.73,16.69,8.79
194302,0.97,4.39,-99.99,5.57,0.34,12.07,11.3,22.11,8.74,7.53,-99.99,-2.2,3.94,2.29,8.15,7.32,7.12,22.9,5.92,-99.99,7.89,4.64,7.78,8.38,10.5,-99.99,-99.99,4.78,11.39,7.87,7.87,8.81,5.28,14.74,5.16,3.13,-3.21,4.34,4,10.61,11.48,2.86,4.17,6.57,4.62,58.77,14.42,0.58
194303,-1.42,4.57,-99.99,9.66,2.97,10.94,25.19,11.18,2.56,4.99,-99.99,14.34,4.1,2.61,3.06,10.09,7.13,8.11,8.35,-99.99,7.02,7.51,5.95,9.51,11.01,-99.99,-99.99,8.76,15.19,6.93,4.68,0.62,32.56,14.05,5.94,13.78,7.45,8.48,4.55,9.17,12.47,8.54,9.24,11.5,5.31,-9.57,10.78,6.57
194304,-7.96,1.24,-99.99,9.71,1.12,-4.23,1.65,20.59,1.09,-2.11,-99.99,9.55,0.97,-0.8,9.41,1.06,-1.42,5.5,-4.02,-99.99,-0.83,1.36,0.9,1.1,-2.88,-99.99,-99.99,-1.53,12.6,0.85,4.01,4.16,1.57,1.17,-0.42,7.9,0.78,-3.83,-0.62,3.45,7.76,1.61,8.6,-3.4,4.44,-0.84,5.16,0.35
194305,16.1,6.38,-99.99,3.22,6.32,7.72,11.93,25.01,4.68,4.39,-99.99,8.41,4.95,6.87,6.79,2.5,7.07,5.11,3.35,-99.99,3.32,6.13,6.26,1.07,15.45,-99.99,-99.99,1.53,3.95,5.71,4.49,4.57,15.55,8.27,9.15,4.24,4.62,15.48,5.6,4.93,3.71,7.63,4.54,15.36,-0.97,33.45,6.85,7.82
194306,6.57,1.08,-99.99,4.19,1.95,-0.35,0.13,-4.86,-0.05,4.87,-99.99,1.03,0.47,0.13,0,6.39,4.6,-0.58,-0.84,-99.99,4.93,3.32,5.09,-3.35,-1.59,-99.99,-99.99,-3.87,-6.66,1.27,4.24,2.27,9.56,2.92,2.47,0.8,-1.62,1.53,3.37,-0.43,15.52,5.36,1.96,1.22,3.75,-0.74,-3.13,1.01
194307,-8.89,0.43,-99.99,-6.59,-3.92,-2.08,-6.7,-8.99,-3.16,0.42,-99.99,-8.94,-2.93,-6.53,-99.99,-8.21,-8.11,-12.95,-5.24,-99.99,-7.97,-8.66,-9.56,-12.21,-12.93,-99.99,-99.99,-2.6,-10.17,-2.78,-0.48,-0.18,10.96,-5.19,-4.83,-11.34,-2.26,-5.92,-5.41,-5.86,-9.38,-3.1,4.16,-2.36,-3.97,-12.35,-6.1,-7.82
194308,3.31,0.39,-99.99,2.79,1.04,0.71,1.65,11.07,1,-0.87,-99.99,-2.14,0.39,0.66,-99.99,3.71,0.37,-1.52,0.26,-99.99,1.92,0.76,3.7,-0.86,1.08,-99.99,-99.99,1.49,2.64,1.08,1.87,0.91,15.61,-2.08,2.37,2.09,-2.78,1.32,-1.56,1.49,2.62,3.81,-0.52,0.56,4.42,-1.1,-0.16,5.57
194309,4.02,1.89,-99.99,0.97,2.19,1.43,3.22,3.3,5.25,1.89,-99.99,7.03,3.86,2.39,-99.99,5.33,5.37,3.18,1.71,-99.99,2.42,5.75,1.69,0.37,1.52,-99.99,-99.99,0.84,4.3,1.38,3.87,1.45,-4.03,5.25,3.32,6,4.13,-1.5,5.55,2.55,5.53,2.11,0.13,2.81,1.03,-3.72,0.86,2.82
194310,-1.12,-0.22,-99.99,13.55,-2.11,-5.99,-2.86,-0.5,-1.07,-2,-99.99,1.88,0.5,-2.19,-99.99,-0.4,-2.07,3.43,1.09,-99.99,-1.22,-4.04,-1.29,-0.66,3.81,-99.99,-99.99,-3.47,0.31,-2.08,0.56,0.73,-2.55,-0.32,-2.43,-0.07,-1.92,-1.34,0.47,-0.3,2.27,-2.59,1.25,-2.05,-1.05,6.82,0.19,-0.36
194311,-3.51,-4.27,-99.99,-1.85,-6.13,-9.36,-9.83,-15.57,-2.7,-1.88,-99.99,-3.59,-3.95,-5.01,-99.99,-4.84,-5.68,-10.71,-7.24,-99.99,-7.22,-6.87,-5.7,-13.13,-7.91,-99.99,-99.99,-4.29,-11.9,-6.88,-8.37,-1.74,-3.07,-5.68,-5.22,-7.63,-5.25,-7.05,-6.95,-8.99,-8.7,-4.41,-2.72,-3.27,-11.81,-9.26,-8.88,-4.91
194312,8.45,5.26,-99.99,12.48,6.2,14.29,11.1,16.74,5.12,3.78,-99.99,13.22,3.42,3.27,-99.99,8.25,7.05,6.9,4.21,-99.99,11.5,8.02,8.45,9.23,13.69,-99.99,-99.99,3.62,10,7.17,7.41,3.14,10.62,7.86,6.92,14.25,7.93,6.24,6.68,7.28,11.13,6.86,2.64,6.46,12.25,19.26,7.83,5.5
194401,4.9,3.25,-99.99,1.17,6.66,8.82,1.63,0.98,2.23,2.53,-99.99,0.56,0.27,0.38,-99.99,3.48,2.58,8.35,3.14,-99.99,2.05,0.85,0.86,3.71,5.45,-99.99,-99.99,3.49,5.9,0.56,-0.34,0.86,13.88,4.95,1.06,-0.62,-0.62,1.09,2.82,6.3,-0.37,0.76,2.21,2.89,-4.92,3.07,2.45,1.96
194402,-0.9,-0.15,-99.99,-5.42,-1.17,2.7,-1.02,-2.34,-2.66,2.32,-99.99,-3.49,-2.59,-0.74,-99.99,0.86,-1.79,-2.37,0.05,-99.99,-0.26,-3,3.69,3.3,0.71,-99.99,-99.99,-0.89,4.65,0.05,1.51,0.88,8.96,1.19,-1.56,0.8,1.01,-0.82,-0.27,3.92,1.86,0.99,2.03,-1.15,-0.35,-11.08,2.66,0.54
194403,-0.71,2.34,-99.99,13.09,2.39,-2,6.69,7.16,1.24,1.58,-99.99,3.29,2.41,2.51,-99.99,5.62,3.81,1.81,1.45,-99.99,1.46,3.32,5.24,-0.56,1.11,-99.99,-99.99,0.06,6.64,1.82,1.8,0.74,-3.4,2.8,5.77,8.31,3.31,3,3.98,2.51,4.85,2.14,7.38,4.92,3.49,11.26,1.87,0.47
194404,-0.89,-2.6,-99.99,-3.53,-0.61,-3.74,-3.99,-4.91,-1.73,-1.77,-99.99,-2.43,-2.35,-1.78,-99.99,0.36,-0.61,-6.04,-2.22,-99.99,-2.85,-1.22,-1.2,-4.55,-3.4,-99.99,-99.99,-2.79,-4.61,-1.33,-0.92,-0.57,-3.5,-0.78,-1.21,-3.77,-5.55,6.03,-1.55,-2,-4.98,-0.85,-2.81,-4.78,-1.12,-2.56,-2.03,-2.91
194405,7.65,5.16,-99.99,4.56,5.19,11.31,6.26,13.84,6.47,3.64,-99.99,5.07,5.71,4.16,-99.99,6.42,6.63,6.1,4.46,-99.99,7.33,3.21,8.19,2.52,9.25,-99.99,-99.99,2.37,9.01,4.93,2.78,2.83,7.18,6.12,3.39,10.83,4.6,9.85,8.73,4.57,8.72,4.98,3.94,4.31,1.97,5.04,4.15,10.83
194406,4.76,4.69,-99.99,-5.03,8.29,14.47,9.52,26.11,5.25,6.39,-99.99,3.84,3.85,5.72,-99.99,10.28,9.41,26.48,9.64,-99.99,7.14,8.44,8.78,7.83,7.09,-99.99,-99.99,10.16,3.14,0.51,4.86,3.21,11.4,10.58,7.09,4.75,3.95,4.7,4.73,3.53,1.91,5.85,10.98,8.11,0.79,11.9,12.67,8.32
194407,-2.09,0.24,-99.99,0.34,-0.51,-7.87,-4.25,-3.16,-0.72,-0.86,-99.99,1.46,-1.39,-2.32,-4.65,-3.36,-2.65,-7.16,-2.07,-99.99,-1.78,-1.77,-4.78,-2.08,0.05,-99.99,-99.99,-2.4,6.6,-1.29,0.23,-0.37,7.51,1.25,-1.14,-3.62,-2.5,-4.87,-0.17,0.31,1.2,-0.14,-0.74,0.97,1.11,-7.45,-5.07,-3.84
194408,3.51,2.07,-99.99,0.46,2.59,9.76,-1.16,16.29,1.84,2.26,-99.99,-3.67,1.01,0.67,4.88,5.66,3.63,8.13,1.86,-99.99,3.66,1.74,3.75,5.21,4.88,-99.99,-99.99,-1.11,-2.79,-1.93,3.62,0.67,0.45,3.49,3.99,3.14,0.6,4.8,2.54,0.32,1.93,3.19,2.07,1.87,0.97,15.61,2.14,5.32
194409,3.98,0.99,-99.99,2.18,-4.61,-3.93,1.63,-1.9,1.3,1.66,-99.99,3.4,0.27,0.1,-2.16,-0.23,-1.32,-0.39,1.14,-99.99,-0.14,-0.71,0.46,9.91,1.82,-99.99,-99.99,0.18,-3.25,-1.36,-1.51,0.27,-3.26,-0.44,-0.49,-0.23,-0.6,-3.08,-1,-0.09,8,1.57,3.35,0.69,1.11,-4.88,-1.43,-0.93
194410,-1.81,0.23,-99.99,0.81,-0.32,-4.09,-0.91,-3.41,-0.62,0.03,-99.99,-1.83,1.25,0.44,3.41,0.65,-1.3,-0.18,-0.26,-99.99,-1.64,0.89,-2.51,1.4,-1.81,-99.99,-99.99,-0.86,0,1.89,1.35,0.75,4.75,-0.06,-1.53,3.06,2.74,-6.05,-0.42,1.5,2.15,0.38,-0.74,-2.44,5.41,1.97,-0.74,-2.89
194411,-2.8,1.63,-99.99,7.29,-0.2,12.2,7.33,5.11,-0.3,-0.99,-99.99,4.96,0.28,-0.67,3.88,4.07,1.47,3.29,1.11,-99.99,1.96,1.62,2.29,3.2,4.23,-99.99,-99.99,5,1.62,2.64,-0.39,0.7,4.53,1.41,1.7,4.5,0.74,1.77,1.34,4.97,2.01,2.78,4.83,-0.99,-0.25,-4.56,3.4,1.28
194412,6.15,2.14,-99.99,3,0.51,11.54,7.86,-0.91,4.11,1.45,-99.99,5.72,1.48,2.06,6.54,3.7,3.76,12.2,6.84,-99.99,4.57,4.98,4.16,5.77,6.45,-99.99,-99.99,3.71,13.33,5.05,3.12,0.72,1.48,3.92,2.62,1.65,5.73,4.12,2.06,11.29,4.63,2,5.98,0.2,-2.34,31.35,7.35,7.74
194501,2.52,2.75,-99.99,2.49,2.51,-2.46,-3.3,8.9,1.85,0.23,-99.99,9.11,0.07,2.53,5.42,3.39,4.97,5.64,2.75,-99.99,3.45,0.8,1.45,0.38,0.69,-99.99,-99.99,7.61,0.5,4.97,5.69,-2.11,8.94,8.86,1.58,4.31,-1.69,3.24,3.24,-1.25,0.07,-0.05,6.13,5.54,2.69,11.59,1.95,0.61
194502,1.66,2.49,-99.99,9.33,6.51,12.12,6.28,5.04,4.44,5.1,-99.99,1.33,4.43,5.57,1.03,4.4,7.53,15.4,9.06,-99.99,5.57,7.82,7.83,9.29,8.58,-99.99,-99.99,6.17,3.01,7.36,6.08,2.85,0.58,7.93,5.21,3.28,2.57,6,6.15,8.61,5.25,4.5,4.97,2.87,8.25,1.44,12.07,3.42
194503,0.42,-2.97,-99.99,-1.54,-3.51,-2.73,-3.57,-9.8,-4.56,-3,-99.99,-1.99,-1.81,-3.44,-1.37,-3.94,-4.89,-13.89,-5.44,-99.99,-5.15,-4.01,-6.23,-7.42,-4.42,-99.99,-99.99,-5.01,-5.68,-5.24,-3.08,-0.11,-3.15,-8.47,-4.34,-7.19,-1.39,-6.83,-4.5,-2.95,-5.21,-1.13,-5.65,0.06,-3.83,-7.73,-7.63,-5.96
194504,7.68,5.65,-99.99,15.65,7.82,8.88,3.69,22.23,3.74,5.34,-99.99,5.29,6.39,8.21,8.33,8.56,7.99,11.91,9.47,-99.99,10.68,9.06,11.02,5.29,7.26,-99.99,-99.99,6.17,6.26,6.91,10.11,2.51,-4.09,9.39,6.04,11.57,4.27,7.04,8.08,10.7,5.54,7.28,5.63,5.55,6.87,1.98,6.52,11.16
194505,1.72,2.32,-99.99,-0.59,2.42,-4.72,7.59,0.46,7.05,4.46,-99.99,0.93,4.3,-0.22,-1.28,4.37,2.23,-1.35,-0.47,-99.99,0.94,1.68,0.54,2.44,-0.94,-99.99,-99.99,2.24,7.61,-0.96,1.88,3.76,-2.7,9.64,5.77,-1.11,-1.23,3.25,5.26,3.45,5.43,6.27,9.1,-0.49,1.53,2.57,2.11,0.32
194506,0.07,-0.05,-99.99,6.44,0.35,-2.73,-0.7,14.43,-2.62,0.68,-99.99,-0.56,-4.89,-2.42,-6.23,4.79,-1.7,12.05,2.16,-99.99,-0.66,-2.27,-1.34,13.56,1.27,-99.99,-99.99,2.05,4.74,-0.56,5.14,2.62,3.39,0.94,-1.5,-0.96,-0.35,1.67,-2.92,5.82,6.94,-3.5,-5.17,2.17,-4.87,1.14,9.59,-2.53
194507,3.34,-1.43,-99.99,-7.9,-0.19,-5.95,-4.2,-1.47,-2.07,-0.67,-99.99,-1.4,-1.64,-2.54,0.7,-4.64,-2.66,-3.94,-2.38,-99.99,-3.54,-1.25,-1.37,-7.61,-3.22,-99.99,-99.99,-4.32,-1.54,-3.25,-0.37,2.18,0.18,-2.1,-1.65,-2.49,-4.3,-6.7,-1.62,-6.55,-1.21,-0.04,-0.11,-4,1.53,0.37,-4.86,-5.16
194508,4.3,6.44,-99.99,4.98,10.73,13.59,8.47,14.8,7.07,5.33,-99.99,1.87,10.04,9.47,1.74,13.67,11.94,7.42,6.73,-99.99,8.87,10.93,9.81,3.28,10.66,-99.99,-99.99,2.32,-3.92,2.28,1.06,1.74,4.39,6.98,6.67,7.91,7.01,9.41,9.52,0,7.76,8.36,2.51,17.88,2.6,1.18,3.4,15.23
194509,1.02,7.97,-99.99,14.83,1.26,7.82,9.5,12.73,1.59,3.7,-99.99,9.76,6.16,6.71,6.55,8.55,7.28,14.31,8.02,-99.99,4.47,2.19,2.63,4.27,3.85,-99.99,-99.99,5.69,10.71,1.9,6.56,1.9,14.03,9.76,3.44,9.9,9.11,10.96,4.66,6.86,2.91,5.58,17.79,-2.65,2.58,28.68,5.39,7.49
194510,4.78,6.59,-99.99,39.09,0.33,11.72,12.23,15.21,5.46,6.63,-99.99,4.24,6.88,-0.35,0.32,1.57,0.28,4.64,4.8,-99.99,2.69,-2.01,0.6,5.53,1.95,-99.99,-99.99,6.83,9.1,6.3,6.07,2.36,3.89,4.31,4.92,3.7,10.77,1.13,3.4,4.32,3.97,6.14,2.78,-1.99,5.3,7.36,17.86,-0.58
194511,-0.62,3.47,-99.99,4.13,3,6.81,17.58,-3.13,3.64,4.04,-99.99,13.35,8.07,3.21,7.1,12.66,3.95,28.59,6.79,-99.99,6.49,2.38,2.46,7.52,4.24,-99.99,-99.99,12.46,3.81,8.41,4.79,3.39,17.48,12.37,6.55,2.15,0.25,8.55,4.14,8.42,8.95,6.66,12.71,1.81,0.41,15,8.61,-0.46
194512,0.08,0.03,-99.99,19.48,-1.91,-4.55,6.36,-0.06,3.62,0.84,-99.99,5.32,1.1,2.3,1.85,3.62,1.53,-5.93,0.45,-99.99,0.81,2.76,2.16,4.61,3.7,-99.99,-99.99,-3.25,3.11,-0.27,-1,0.48,4.27,-1.21,0.9,-0.42,4.52,-0.01,0.79,-1.28,2.44,3.36,12.8,3.6,2.1,12.07,6.05,2.37
194601,2.83,5.58,-99.99,0.53,0.6,9.95,14.31,11.19,4.62,14.54,-99.99,9.81,7.51,5.45,9.7,8.84,8.38,15.06,13.49,-99.99,5.6,6.28,7.12,8.89,8.64,-99.99,-99.99,7.36,9.77,-0.14,10.82,1.91,-1.76,3.11,4.11,3.84,10.33,9.92,2.16,6.16,15.26,10.97,1.63,3.7,8.93,27.51,9.48,3.54
194602,-3.09,-3.91,-99.99,-6.54,-5.2,-9.59,-0.07,-5.74,-8.49,-8.52,-99.99,-5.67,-4.14,-4.41,-3.04,-6.18,-2.7,-12.36,-7.57,-99.99,-8.01,-7.8,-8.97,-6.85,-7.73,-99.99,-99.99,-4.24,-0.96,-4.7,-5.71,-2.82,-0.77,-6.94,-2.6,-4.38,-10.72,-5.34,-6.11,-7.09,-6.81,-4.16,-0.48,-4.05,-7.73,-9.79,-10,-5.03
194603,14.39,4.4,-99.99,8.91,8.57,5.34,12.71,2.36,7.05,6.88,-99.99,4.52,15.77,7.2,6.61,7.98,5.88,3.34,3.54,-99.99,5,-0.62,1.97,0.07,2.73,-99.99,-99.99,-0.6,-1.46,11.16,6.25,1.16,1.53,9.69,5.07,12.35,10.4,8.61,8.72,3.87,6.2,11.88,4.24,6.5,3.48,3.16,5.88,7.69
194604,13.69,1.74,-99.99,0.24,3.89,16.51,8.93,15.26,6.58,4.67,-99.99,11.01,15.06,5.63,-0.81,8.73,4.8,8.15,3.91,-99.99,3.73,-1.03,1.39,-6.72,3.5,-99.99,-99.99,4.26,5.68,8.8,4.31,1.59,21.66,14.72,8.61,4.56,5.72,12.88,6.61,-0.36,4.64,7.17,13.71,2.39,-4.04,-0.25,1.55,3.61
194605,3.25,1.65,-99.99,7.84,3.29,-3.03,-4.52,-4.18,0.86,8.6,-99.99,9.13,5.28,4.35,4.08,9.48,5.38,-2.78,6.74,-99.99,7,5.87,4.37,4.67,4.27,-99.99,-99.99,3.17,4.97,3.67,3.06,2.82,9.51,7.23,7.41,4.69,-0.27,5.55,4.06,5.09,7.1,1.63,-0.95,3.1,-0.87,7.74,6.17,6.19
194606,6.66,-4.2,-99.99,2.42,-4.75,-9.96,-4.25,-13.25,-4.19,-7.12,-99.99,-6.81,-5.38,-2.99,-6.32,-4.98,-4.61,-7.57,-2.33,-99.99,-4.81,-5.11,-5.94,-6.48,-4.79,-99.99,-99.99,-5.41,-5.21,-3.14,-2.78,0.3,-5.16,-4.49,-2.87,-7.66,-8.26,-5.3,-3.09,-2.69,-1.59,-8.07,-6.25,0.52,-0.97,-6.91,-5.47,-7.27
194607,-3.59,-0.51,-99.99,3.43,-0.76,-6.37,-1.26,-5.54,-1.33,-1.89,-99.99,-5.08,-3.04,-2.49,-6.78,-4.13,-5.66,-1.72,-2.62,-99.99,-5.52,-3.76,-4.31,-2.42,-5.96,-99.99,-99.99,-5.63,0.05,-0.06,-3.61,-0.08,0.62,-4.89,-1.52,-6.46,-2.9,-2.89,-2.01,-5.76,-2.86,-3.05,-1.26,-3.73,0,-7.8,-6.36,-4.14
194608,0.06,-5.15,-99.99,-6.45,-3.97,-5.93,-5.59,-13.01,-4.73,-7.94,-99.99,-5.25,-3.04,-6.5,-5.28,-7.74,-6.71,-11.89,-7.54,-99.99,-8.95,-8.02,-9.91,-3.63,-6.58,-99.99,-99.99,-6.79,-3.09,-5.64,-5.35,-7,-6.92,-10.38,-8.12,-4.86,-0.4,-10.45,-4.29,-7.04,-7.2,-4.68,-4,-7.74,-0.43,-12.01,-7.47,-4.07
194609,-8.33,-8.85,-99.99,-17.07,-11.17,-12.37,-12.48,-13.93,-9.32,-11.81,-99.99,-12.23,-6.54,-8.87,-11.45,-12.49,-8.93,-10.6,-11.98,-99.99,-12.23,-10.79,-14.37,-10.26,-13.18,-99.99,-99.99,-8.02,-11.53,-7.99,-8.91,-4.74,-14.83,-10.95,-8.04,-12.7,-7.25,-9.69,-11.18,-16.47,-7.58,-6.65,-14.86,-14.25,-7.74,-16.36,-14.75,-12.85
194610,-0.64,0.34,-99.99,-3.87,4.69,0.46,-3.33,0.74,-1.91,3.48,-99.99,-2.58,-0.03,-3.68,0.84,-5.85,-1.7,3.71,1.45,-99.99,-3.5,-4.02,-3.28,-8.66,-0.17,-99.99,-99.99,1.18,0.28,-0.68,1.45,-5.13,-3.95,-3.08,-0.81,3.52,-1.64,-4.23,-0.25,0.2,-2.08,-2.28,-0.39,2.05,-8.49,-6.78,-1.19,-2.71
194611,0.58,-0.48,-99.99,-8.86,0.54,-0.98,1.2,-8.65,-0.2,-2.45,-99.99,4.2,1.45,3.62,-2.19,-1.04,1.34,0.24,2.14,-99.99,-1.02,-5.17,-1.69,-4.95,-0.35,-99.99,-99.99,1.42,-0.91,0.58,0.8,1.79,-9.31,5.28,-0.98,10.11,6.1,3.85,5.7,-0.75,-2.78,-5.25,6.8,-0.26,3.41,-3.43,-0.66,2.99
194612,12,3.27,-99.99,1.52,4.22,4.26,-1.37,6.55,9.61,-1.77,-99.99,9.31,7.04,6.86,5.49,5.82,9.6,-1.71,5.09,-99.99,7.16,4.87,5.96,4.12,4.82,-99.99,-99.99,-0.2,2.9,4.41,6.07,3.77,-2.15,1.59,5.33,6.08,3.22,20.76,6.14,2.21,1.88,4.33,-1.51,11.4,10.06,-0.06,5.05,9.85
194701,-8.42,1.19,-99.99,-8.25,1.97,6.67,-3.24,-0.65,-1.77,5.43,-99.99,-3.88,-5.45,-0.45,3.36,3.38,0.96,4.42,1.01,-99.99,3.4,7.34,10.46,2.47,7.31,-99.99,-99.99,3.26,3.46,-0.71,-0.16,1.03,0.95,2.92,4.3,1.76,0.42,-6.11,0.01,0.16,-0.38,0.75,0.55,1.5,2.65,-0.77,3.06,1.79
194702,5.54,0.57,-99.99,-2.18,-4.8,-1.34,-5.09,-3.02,0.89,-0.24,-99.99,-0.74,-4.51,-0.4,-0.61,3.88,-3.77,-0.89,-0.91,-99.99,-0.36,-2.94,1.78,-1.22,-0.63,-99.99,-99.99,1.92,-0.15,-2.74,-0.88,-2.05,-0.39,-0.34,-3.78,-5.1,3.99,-2.04,2.07,-0.59,-1.25,-0.35,0.47,-4.12,0.59,4.31,-3.51,-1.1
194703,1.65,-1.52,-99.99,-6.16,-2.73,-1.16,-3.9,-1.54,-3.79,0.17,-99.99,7.89,-2.15,-0.23,-4.55,-6.67,-2.92,-3.35,-1.73,-99.99,0.03,-3.99,-2.78,-2.71,-2.84,-99.99,-99.99,-2.84,4.71,2.25,-2.79,-2.15,1.97,-3.23,-0.67,-4.37,2.25,-4.34,-3.62,-3.61,-2.7,-2.15,-4.72,-1.01,-4.24,-10.19,-2.48,-3.17
194704,-3.2,-5.44,-99.99,-11.23,-8.32,-10.05,-7.54,-13.9,-3.61,-6.35,-99.99,-11.97,-8.24,-3.94,-4.26,-8.5,-5.59,-13.83,-6.56,-99.99,-7.66,-5,-4.53,-10.14,-6.85,-99.99,-99.99,-4.62,-5.42,-0.36,-3.72,-0.22,-6.13,-8.33,-8.09,-4.63,-2.72,-11.78,-4.69,-6.29,-5.44,-8.1,-9.34,-6.72,-7.3,-7.52,-5.75,-8.14
194705,-1.62,-0.54,-99.99,-3.78,3.6,2.82,1.61,-5.05,-1.95,-4.45,-99.99,-5.11,-2.43,-0.34,-3.17,-2.92,-3.65,-6.72,-2.44,-99.99,-1.55,0.43,-2.66,-8.76,-1.91,-99.99,-99.99,-1.44,-5.11,2.63,-2.48,-1.1,-1.62,-7.53,1.22,-9.38,-2.72,-4.52,-1.2,-3.15,-3.81,-0.08,-4.85,1.24,-3.59,-1.74,-1.73,-5.46
194706,12.18,5.14,-99.99,8.4,5.6,5.49,2.07,12.55,1.68,9.51,-99.99,6.91,3.91,8.01,3.02,9.42,6.2,5.69,2.28,-99.99,8.94,4.64,6.03,1.05,4.28,-99.99,-99.99,1.08,11.17,7.71,3.98,-3.17,0.17,4.06,3.73,12.92,0.04,14.28,6.24,2.43,7.68,10.09,7.9,7.98,15.53,5.57,3.09,3.28
194707,5.7,4.93,-99.99,2.13,3.48,3.85,5.52,2.68,9.77,2.95,-99.99,2.39,2.62,1.52,0.48,8.69,3.09,7.56,7.29,-99.99,3.68,6.91,4.71,2.43,4.19,-99.99,-99.99,5.34,17.04,3.67,2.53,0.81,10.66,5.24,5.68,0.91,6.05,4.92,3.23,7.48,5.45,4.52,6.79,1.9,-4.39,8.36,5.87,8.34
194708,-4.11,-0.98,-99.99,-3.69,-2.49,11.23,-11.89,2.56,-0.08,0.83,-99.99,-9.95,-3.22,-0.6,-3.68,-0.03,-2.69,-3.36,-0.61,-99.99,-2.35,-3.68,-1.09,3.48,-0.95,-99.99,-99.99,-2.02,0.73,-2.35,0.26,0.36,-0.79,-2.81,-3.69,-0.66,-7.35,1.63,-0.44,-2.35,-1.37,-3.63,-6.81,2.63,-5.07,-6.16,-3.37,0.36
194709,4.42,-1.02,-99.99,11.81,-0.69,-3.66,-0.72,-2.63,1.87,-2.13,-99.99,-7.97,-2.12,-0.94,-1.23,2.01,0.8,-2.07,0.54,-99.99,2.71,1.22,0.45,5.1,-1.09,-99.99,-99.99,-1.9,11.83,-2.95,-1.32,0.84,-0.25,-1.51,-0.43,2.25,2.5,0.62,2.63,-1.3,-0.11,-3.04,0.87,1.01,4.96,-3.57,-1.13,2.5
194710,4.42,2.37,-99.99,-4.57,-1.56,-4.68,-0.79,4.17,5.55,2.96,-99.99,8.93,0.54,1.15,9.38,3.47,3.77,4.22,5.62,-99.99,4.39,1.58,2.66,0.02,1.54,-99.99,-99.99,0.78,2.63,5.29,0.13,0.21,3.46,2.7,4.8,1.35,-1.25,1.18,3.09,0.53,1.61,3.19,0.21,1.06,0.57,5.33,6.15,5.54
194711,-1.84,-2.63,-99.99,-1.92,0.86,-3.73,-2.38,-7.57,-2.94,-0.71,-99.99,-2.73,-3.07,-0.73,1.47,-0.72,-2.07,-8.8,-0.13,-99.99,-0.74,-1.75,-2.72,-0.4,-2.33,-99.99,-99.99,1.83,4.49,-0.43,-7.58,-2.57,-1.37,-3.35,0.43,-1.9,3.03,-1,-4.18,-2.84,-2.26,-2.43,-1.16,-6.81,7.55,-6.02,-0.03,-1.2
194712,-1.12,0.19,-99.99,-1.11,1.08,-5.72,-6.58,-2.1,0.9,3.62,-99.99,-6.17,3.99,1.91,-2.85,4.91,2.65,9.34,3.73,-99.99,3.25,3.31,2.48,-0.54,3.37,-99.99,-99.99,-4.78,4.33,9.38,1.19,0.44,-4.22,1.28,3.3,-4.57,-0.26,4.75,2.87,8.28,0.14,0.39,5.86,-0.06,3.63,10.4,0.76,0.91
194801,-6.17,-2.55,-99.99,-3.14,-1.61,-4.98,-5.51,-5.89,-3.49,-1.39,-99.99,-4.99,-8.51,-4.46,-3.85,-2.93,-5.95,7.57,-4.1,-99.99,-3.42,-4.04,-5.15,8.04,-3.56,-99.99,-99.99,1.65,-1.17,-7.54,-0.22,0.1,-0.96,-1.04,-7.17,-3.17,-9.37,-6.94,-5.57,-0.38,-2.6,-3.36,-5.25,-0.8,-0.2,-7.1,-1.86,-6.4
